11个城市,保定,北京,成都,佛山,阜阳,广州,贵阳,杭州,合肥,济南,茂名,南昌,南京,莆田,厦门,汕头,上海,绍兴,深圳,石家庄,苏州,太原,唐山,天津,武汉,西安,襄阳,盐城,扬州,长春,长沙,郑州,淄博,常州,淮安,连云港,南宁,徐州,重庆,大连,昆明,南通,宁波,沈阳,无锡,枣庄,青岛,哈尔滨,临沂,乌鲁木齐
14,156.1,179.2,74.7,72.4,201.3,140.2,72,50.1,119,74,157.1,66,90,132.8,41.7,75.7,27.3,37,79.4,93.8,42.7,65.3,22.3,84,83,114.7,114.2,32.4,53.3,63,157.8,90,34.8,72.6,98.5,62.5,100.2,132.3,220.2,164.1,99.6,66.7,40,124.9,44.7,130,71,103.6,91.4,93.8
13,143.4,176.5,68.8,66.8,151.7,60.6,63.8,47.6,130.5,69.5,167.1,70.1,98.2,97.1,44.6,57.3,23.3,37.2,72.4,98,39.1,70,22.8,69.5,86.7,99.8,102,30,51.4,62.6,134.5,82.1,33.8,43.1,59.1,56.3,45.7,123.4,107,170.9,65.6,45.2,28.9,88,41.2,93.8,112.9,126.6,54,63.3
12,123.9,193.2,62.6,63.6,159.5,57.8,60.6,50.3,134.5,56.3,92.3,77.4,96.5,157.9,51.2,62.4,29.5,40.5,67.4,91.1,40,72,32.7,59.7,87.7,95.6,100.8,35.3,45.7,53.8,126.4,78.7,45.3,39.3,51.6,35.4,44.7,116.1,95.8,90.5,53.3,46.8,28.9,59.6,50.3,102.1,158,103.1,52,63.7
11,105.8,154.9,62.3,58.2,201.3,58.1,63.8,58,126.7,49.1,107.2,84.2,78,231,52.2,61.3,34.1,43.9,63.3,90.6,42.6,71.5,43.9,55.4,93.9,87.2,103.7,42.9,42.9,40.4,124,72.4,44.6,39.1,56.3,39.6,44.1,114.2,95.2,66.7,42.5,71,34.3,45.7,60.6,108.3,72.1,80.4,53.3,67.1
10,114.4,127.1,62.9,56.7,149,56.6,68.4,58.1,111.9,48.6,80.8,79.3,76.6,214.4,52.8,60.7,33.7,52.2,58.2,81.8,42.1,71.3,62.6,55.9,89.9,79.2,93.6,37.1,41.4,35,118.4,68.5,48.9,42.8,54.3,40.6,41.7,115.8,89.6,58,37.3,71.1,35.5,50.6,54.8,98,77.9,70.6,56,62
9,125.5,90.6,63.7,55,103.2,55,73.1,58.2,96.6,48.2,53.3,74.9,75.4,198,53.3,60,33.3,58.7,52.4,71.7,41.7,71,83.3,56.5,86,69.8,83.6,31.4,40,29.5,112.8,64.9,54,46.5,52.7,41.7,39.5,117.9,83.6,49.4,30.5,71.2,36.8,60.8,49.5,88,84.4,59.2,58.8,56.9
8,121.8,84.7,66.3,52.9,96.7,55,73.6,59.1,94.7,39.2,54.5,68.9,79.4,167,48.3,57.2,37,54.6,51.5,43.5,38.3,70,79.8,52.6,81.2,63.9,83.8,27.1,36.3,25.8,94.2,62.3,42.2,39.9,51.4,28.3,40.9,107.8,78.3,45.6,28.1,42.4,31.7,68.6,30.1,61.1,73.3,49,54.1,62.3
7,79.6,82.8,72,54.9,115,58.4,58.1,65.1,76.8,37.5,62.9,64,71.3,150,50.9,54.7,35.8,51.8,47.9,41,36.5,68.2,82.8,59.2,78.4,61.9,82.3,24.3,36.5,25.7,91.2,59.1,36.2,38.7,41.2,25,40.9,104.9,72.7,38.4,22,28.8,32.5,66.3,34.6,63.5,58.3,44.9,47.1,74.5
6,63.1,80,74,54.4,111.7,57.7,46.1,68.6,86.3,35.5,53.3,54.4,60,138.6,54.5,55.7,38.2,50.8,50.4,42.6,38.4,62.7,58,64.8,75.6,63.2,83.1,25.7,35.7,23.8,104.5,56.2,33.9,40.4,45.5,25,43,95.2,72.5,35.2,18.5,26.5,34.4,57.8,39.5,62.5,42.4,33.7,40,74.2
5,60.9,83,77.8,55.5,80,59.5,37.3,71.8,86.5,40,64,47.7,62.6,138.6,65.5,53.3,38.9,54.8,48.5,44.4,43.9,56.3,53.3,60.3,85.9,57,80,25.7,33.9,23.8,117.7,53.4,33.3,40.1,46.9,23.9,42.3,79.3,73.5,33.3,20,28.6,34.7,54.1,32.2,59.3,48.5,33,30.5,76.4
4,61.6,66.7,86.8,53.3,83.5,61.1,33.9,79.5,85.2,38,62,55.7,62.1,150,67.8,50.5,39,61.9,48.5,46.9,47.7,55.8,51.8,73.6,93.7,54,76.8,28.6,37.8,26.6,123.7,50.2,35.9,39.3,42.2,29.2,46.9,83.6,71.9,36.8,22,30,35.6,44,27,51.5,47.1,36.1,17.1,82.5
3,55.1,56.6,95.2,55,68.5,55.8,30.1,82.5,81.8,35.8,66,53.3,66.4,139.4,61.5,54.2,45.7,68.2,48.9,68.5,40,43.8,39.7,74.1,100,51.3,76,30.9,38.8,23.8,126.1,46,31.6,34.3,15.5,29.2,49,78.5,68.2,38.9,24.7,30.6,36.7,32.9,24.2,45.3,49.4,44,23.4,80.4
2,50.7,38.4,91.8,56.1,57.8,56.7,27.5,86.3,82.5,42.5,70.9,50.9,59.3,124,85.9,56.2,46.3,76.9,50.8,60.7,43.1,33.6,35.6,78.3,102.6,50.7,74.4,28.8,35,22.7,125,41,29.5,34,35.9,27.1,49.1,76.5,64.4,39.2,27.2,39,45.5,32.7,30.3,48.4,42,40.7,32.4,74.6
1,44.8,29.3,90.8,53.8,66,60.3,25.7,85,88.3,35.9,73,43.2,57.3,123.5,80,57,45.8,74.3,51.9,49.9,45.4,30.7,27.5,62.7,100.8,49.8,73.6,33.3,32.6,25.4,120.2,39.5,34.8,34.6,45.3,26,47.7,68.6,64,38.8,27.6,38.4,58.1,42.9,35.7,51.7,42.3,44,36.8,70.2
