Year,Name,Place,Lat,Long,Mass_KG
1972,Kifkakhsyagan?**,"Chukotskiy avtonomnyy okrug, Russia",64.4,172.7,18.8
1972,Lider (a),"Texas, USA",34.65,-101.6333333,2.16
1972,Lider (b),"Texas, USA",34.65,-101.6333333,1.8
1972,Mayfield?**,"Kansas, USA",37.3,-97.53333333,38.4
1972,Motpena (b)?**,"South Australia, Australia",-31.2,138.3,0.304
1972,Mount Margaret?**,"Western Australia, Australia",-28.83333333,122.1833333,0.85
1972,Muleshoe,"Texas, USA",34.11666667,-102.6833333,3.6
1972,Mundrabilla 003,"Western Australia, Australia",-30.85,127.5333333,0.235
1972,New Moore (a),"Texas, USA",33.11666667,-102.1166667,0.1003
1972,Northbranch?**,"Kansas, USA",39.98333333,-98.33333333,76
1972,Oldfield River?**,"Western Australia, Australia",-33,121,0.15
1972,Raguli?**,"Stavropol'skiy kray, Russia",45.7,43.7,4.24
1972,Roosevelt,"Oklahoma, USA",34.86666667,-98.95,5.2
1972,Roosevelt County 056,"New Mexico, USA",34.41666667,-103.5833333,0.0103
1972,Valera?**,"Trujillo, Venezuela",9.316666667,-70.61666667,50
1972,Watson 001?**,"South Australia, Australia",-30.5,131.55,93
1972,West Point?**,"Texas, USA",33.06666667,-102.0333333,3.1
1973,Alkhamasin?**,"Ar Riyad, Saudi Arabia",20.6,44.88333333,1200
1973,Araslanovo?**,"Respublika Tatarstan, Russia",55.13333333,48.2,132
1973,Canon City?**,"Colorado, USA",38.46666667,-105.2333333,1.4
1973,Colonia Obrera?**,"Durango, Mexico",24.01666667,-104.6666667,12.2
1973,El Sampal?**,"Chubut, Argentina",-44.53333333,-70.36666667,142
1973,Kinclaven 001,"Western Australia, Australia",-30.46666667,125.7,0.0173
1973,Kumdah,"Ar Riyad, Saudi Arabia",20.38333333,45.08333333,0
1973,Lichtenberg?**,"North West, South Africa",-26.15,26.18333333,4
1973,Lueders,"Texas, USA",32.83333333,-99.6,35.4
1973,Nullagine?**,"Western Australia, Australia",-21.86666667,120.1166667,0.102
1973,Nurina 001,"Western Australia, Australia",-30.66666667,126.4,0.0027
1973,Puerto Libertad?**,"Sonora, Mexico",29.9,-112.6833333,0.066
1973,Roosevelt County 002,"New Mexico, USA",33.71666667,-103.65,0.0182
1973,Roosevelt County 057,"New Mexico, USA",34.21666667,-103.2833333,0.0077
1973,San Juan Capistrano?**,"California, USA",33.48333333,-117.65,0.056
1973,Wayside?**,"Texas, USA",34.8,-101.6833333,23.6
1973,Wellman (e),"Texas, USA",33.66666667,-102.3,0.959
1973,Yamato 7301?**,Antarctica,-71.83333333,35.5,0.65
1973,Yamato 7302,Antarctica,-71.5,35.66666667,0.011
1973,Yamato 7303?**,Antarctica,-71.5,35.66666667,0.0035
1973,Yamato 7304,Antarctica,-71.5,35.66666667,0.5
1973,Yamato 7305?**,Antarctica,-71.5,35.66666667,0.9
