year,year,month,day,hour,positive,count,context_c,weibo_c,context,weibo
2011,2011,6,8,12,0.152922,1,,0 ,,
2011,2011,6,8,22,0.75824,1,,0 ,,
2011,2011,6,8,23,0.58884,1,,0 ,,
2011,2011,6,9,0,0.627314,1,,0 ,,
2011,2011,6,9,8,0.681458,2,,0 ,,
2011,2011,6,9,9,0.213433,2,,0 ,,
2011,2011,6,9,13,0.669945,1,,0 ,,
2011,2011,6,9,17,0.77444,2,,0 ,,
2011,2011,6,9,18,0.0489543,1,,0 ,,
2011,2011,6,9,20,0.457545,1,,0 ,,
2011,2011,6,9,22,0.274011,1,,0 ,,
2011,2011,6,10,6,0.2888385,2,,0 ,,
2011,2011,6,10,12,0.868111,1,,0 ,,
2011,2011,6,10,14,0.603101,2,,0 ,,
2011,2011,6,10,21,0.10370785,2,,0 ,,
2011,2011,6,10,22,0.428238333,3,,0 ,,
2011,2011,6,10,23,0.554397,2,,0 ,,
2011,2011,6,11,0,0.463418,4,,0 ,,
2011,2011,6,11,8,0.664687,1,,0 ,,
2011,2011,6,11,23,0.448124425,4,,0 ,,
2011,2011,6,12,5,0.158399,1,,0 ,,
2011,2011,6,12,6,0.2904404,3,,0 ,,
2011,2011,6,13,21,0.461285,1,,0 ,,
2011,2011,6,13,23,0.2636305,2,,0 ,,
2011,2011,6,14,8,0.598062,1,,0 ,,
2011,2011,6,14,16,0.414414,1,,0 ,,
2011,2011,6,14,20,0.0653547,1,,0 ,,
2011,2011,6,14,23,0.687654,3,,0 ,,
2011,2011,6,15,2,0.193741,1,,0 ,,
2011,2011,6,15,3,0.203984,1,,0 ,,
2011,2011,6,15,10,0.4939639,2,,0 ,,
2011,2011,6,15,11,0.208479,1,,0 ,,
2011,2011,6,15,16,0.45,1,小学时我妈的要求是：90分以上。初中时我妈的要求是：70分以上。高中时我妈的要求是：及格就好。现在我妈的要求是：活着。提出这些要求对一些母亲很难，但我妈做到了，我妈真得很棒！,1 ,,
2011,2011,6,15,17,0.60749,2,,0 ,,
2011,2011,6,15,18,0.375997,1,,0 ,,
2011,2011,6,15,23,0.0923925,1,,0 ,,
2011,2011,6,16,0,0.707556,1,,0 ,,
2011,2011,6,16,3,0.293682,2,,0 ,,
2011,2011,6,16,13,0.683789,2,,0 ,,
2011,2011,6,16,15,0.3171919,2,,0 ,,
2011,2011,6,16,16,0.328045,1,,0 ,,
2011,2011,6,16,20,0.349144,1,,0 ,,
2011,2011,6,16,22,0.558915667,3,,0 ,,
2011,2011,6,16,23,0.208928,2,,0 ,,
2011,2011,6,17,8,0.44,1,,0 ,,
2011,2011,6,17,12,0.531853,1,,0 ,,
2011,2011,6,17,15,0.126817,2,,0 ,,
2011,2011,6,17,19,0.548079,1,,0 ,,
2011,2011,6,17,21,0.535972,1,,0 ,,
2011,2011,6,18,0,0.6016055,4,,0 ,,
2011,2011,6,18,4,0.3124875,2,,0 ,,
2011,2011,6,18,12,0.288458667,3,,0 ,,
2011,2011,6,18,22,0.361824,1,,0 ,,
2011,2011,6,18,23,0.725084,1,,0 ,,
2011,2011,6,19,6,0.6404625,2,,0 ,,
2011,2011,6,19,11,0.399029,2,,0 ,,
2011,2011,6,19,12,0.506087,2,,0 ,,
2011,2011,6,19,14,0.535191,1,,0 ,,
2011,2011,6,19,23,0.463094,1,,0 ,,
2011,2011,6,20,13,0.302579,1,,0 ,,
2011,2011,6,20,15,0.728526,2,,0 ,,
2011,2011,6,20,16,0.353068475,4,,0 ,,
2011,2011,6,20,21,0.29269305,2,,0 ,,
2011,2011,6,20,22,0.32301045,4,,0 ,,
2011,2011,6,20,23,0.366755,2,,0 ,,
2011,2011,6,21,0,0.0962798,1,,0 ,,
2011,2011,6,21,10,0.85446,1,,0 ,,
2011,2011,6,21,11,0.0869875,1,,0 ,,
2011,2011,6,21,15,0.376189125,4,,0 ,,
2011,2011,6,21,16,0.366396485,2,,0 ,,
2011,2011,6,21,17,0.63,1,,0 ,,
2011,2011,6,21,18,0.661911,1,,0 ,,
2011,2011,6,21,22,0.387400167,3,,0 ,,
2011,2011,6,21,23,0.4026978,3,最无用和最常用的一句祈使句是：加油！ 所以我有时会换成干巴爹,1 ,,
2011,2011,6,22,7,0.3414885,4,,0 ,,
2011,2011,6,22,10,0.3066475,2,,0 ,,
2011,2011,6,22,11,0.446206,1,,0 ,,
2011,2011,6,22,12,0.609936,1,,0 ,,
2011,2011,6,22,14,0.234068,1,,0 ,,
2011,2011,6,22,16,0.428387,1,,0 ,,
2011,2011,6,22,17,0.783544,1,,0 ,,
2011,2011,6,22,18,0.689794,1,,0 ,,
2011,2011,6,22,19,0.652178,1,,0 ,,
2011,2011,6,22,20,0.44,1,,0 ,,
2011,2011,6,22,21,0.301221667,3,,0 ,,
2011,2011,6,22,23,0.318744333,3,,0 ,,
2011,2011,6,23,11,0.603806,2,,0 ,,
2011,2011,6,23,13,0.427309,2,,0 ,,
2011,2011,6,23,15,0.3515145,2,,0 ,,
2011,2011,6,23,16,0.41679,2,,0 ,,
